Front,Back,Tags
What is the CIA Triad?,"Confidentiality, Integrity, and Availability - the three core security principles.",1::Definitions
What is Confidentiality?,"Ensuring data is accessible only to authorized users. Examples: encryption, access controls, least privilege.",1::Definitions
What is Integrity?,"Ensuring data has not been tampered with or altered. Examples: hashing (SHA-256), checksums, digital signatures.",1::Definitions
What is Availability?,"Ensuring systems and data are accessible when needed. Examples: redundancy, failover clustering, load balancing, backups.",1::Definitions
What is Non-repudiation?,"Preventing a party from denying an action. Achieved via: digital signatures (sign with private key, verify with public key), audit logs, cryptographic receipts.",1::Definitions
What does CIANA Pentagon stand for?,"Confidentiality, Integrity, Availability, Non-repudiation, and Authentication - extends the CIA Triad with non-repudiation and authentication.",1::Definitions
What is Authentication?,"Verifying the identity of a user, device, or system. Factors: something you know (password), have (token), are (biometric).",1::Definitions
How does authenticating people differ from authenticating systems?,"People: passwords, biometrics, MFA. Systems: service accounts, machine certificates, API keys, mutual TLS - typically automated and non-interactive.",1::Definitions
What is Authorization?,Determining what an authenticated user is allowed to access. Happens AFTER authentication.,1::Definitions
What is Accounting (in AAA)?,"Tracking and logging user activity and resource usage. Provides audit trails for compliance and incident response. Examples: logs, session recording, usage reports.",1::Definitions
Name four authorization models.,"MAC (Mandatory Access Control - OS-enforced labels), DAC (Discretionary Access Control - owner sets permissions), RBAC (Role-Based Access Control - permissions by role), ABAC (Attribute-Based Access Control - dynamic policy based on user/device/environment attributes).",1::Definitions
What is a Preventive security control?,"A control that stops security incidents before they occur. Examples: firewall blocking traffic, disk encryption, access control lists, MFA.",1::Definitions
What is a Deterrent security control?,"A control that discourages attackers from attempting attacks. Examples: warning signs, guard dogs, lighting, trespassing warnings.",1::Definitions
What is a Detective security control?,"A control that identifies and logs ongoing or past security incidents. Examples: CCTV cameras, intrusion detection systems (IDS), security audits, log monitoring.",1::Definitions
What is a Corrective security control?,"A control that remediates a security incident after it has occurred. Examples: restoring from backup, patching a vulnerability, terminating a malicious process.",1::Definitions
What is a Compensating security control?,"An alternative control used when a primary control is not feasible. Examples: additional logging when encryption cannot be applied, WAF when code cannot be patched immediately.",1::Definitions
What is a Directive security control?,"A control that mandates a security policy or procedure. Examples: acceptable use policy (AUP), security awareness training, compliance standards.",1::Definitions
What are the four security control categories?,"Technical (hardware/software, e.g. firewall), Managerial (policies/procedures, e.g. risk assessments), Operational (day-to-day, e.g. user training), Physical (tangible barriers, e.g. locks).",1::Definitions
Match: Firewall - what control type?,Preventive (and Technical) - blocks unauthorized traffic.,1::Definitions
Match: CCTV cameras - what control type?,Detective (and Physical) - monitors and records activity.,1::Definitions
Match: Backup restoration - what control type?,Corrective (and Technical) - restores data after an incident.,1::Definitions
What is the Zero Trust core principle?,"""Never trust, always verify."" No implicit trust is granted based on network location. Every access request must be authenticated, authorized, and continuously validated.",1::Definitions
What are the three Control Plane components in Zero Trust?,"Adaptive Identity, Threat Scope Reduction, and Policy-Driven Access Control.",1::Definitions
What is Adaptive Identity in Zero Trust?,"Identity verification that adapts based on risk in real time - considers device posture, location, behavior patterns, and time of access. Higher risk = more verification.",1::Definitions
What is Threat Scope Reduction in Zero Trust?,"Minimizing the blast radius of a breach through least privilege and microsegmentation. Users and systems get only the access they need, nothing more.",1::Definitions
What is Policy-Driven Access Control in Zero Trust?,Access decisions are made dynamically based on policy - not static network location. Uses Policy Engine and Policy Administrator to evaluate requests.,1::Definitions
What is the Policy Engine in Zero Trust?,"The ""brain"" that evaluates every access request against policy and makes allow/deny decisions based on identity, device health, and context.",1::Definitions
What is the Policy Administrator in Zero Trust?,The component that generates access tokens (like session cookies or API tokens) based on the Policy Engine's decision. It communicates with the PEP.,1::Definitions
What is the Policy Enforcement Point (PEP) in Zero Trust?,"The gateway or component that enforces the policy decision - allows, blocks, or limits access. Examples: firewall, reverse proxy, VPN concentrator, API gateway.",1::Definitions
What are the Data Plane components in Zero Trust?,"Subject/System (the user or device requesting access), Policy Enforcement Point (PEP - enforces allow/deny), and Implicit Trust Zones (segmented areas with controlled access).",1::Definitions
What are bollards?,"Short vertical posts that act as vehicle barriers to prevent ram-raid attacks. Can be fixed, removable, or retractable.",1::Definitions
What is an access control vestibule (mantrap)?,A small room with two interlocking doors where only one door can open at a time. Prevents tailgating and unauthorized physical entry.,1::Definitions
Name three types of physical fencing.,"Perimeter fencing (property boundary), anti-climb fencing (high with spikes/rollers), and anti-cut fencing (hardened mesh).",1::Definitions
Name four types of physical security sensors.,"Infrared (detects body heat), Pressure (detects weight/floor force), Microwave (detects motion via wave reflection), Ultrasonic (detects motion via sound waves).",1::Definitions
What is PTZ in video surveillance?,"Pan-Tilt-Zoom - a camera that can rotate horizontally (pan), vertically (tilt), and zoom in/out remotely. Used for broad coverage with detailed inspection capability.",1::Definitions
What does CCTV stand for?,"Closed-Circuit Television - a video surveillance system where cameras transmit signals to a specific set of monitors, not publicly broadcast.",1::Definitions
What is a honeypot?,"A decoy system designed to lure attackers, detect intrusions, and study attacker techniques without risking real assets. Appears vulnerable but is closely monitored.",1::Definitions
What is a honeynet?,A network of multiple honeypots simulating a full production network. Provides broader visibility into attacker movements across systems.,1::Definitions
